brand,name,sku,price,stock,image_filename,is_pick,is_sale,is_featured
,,WP600GR,148.99,0,pulsar-doubled-up-transforming-bong-group.jpg?v=1758214938,False,False,False
,,WP625,99.99,0,pulsar-desert-mirage-dab-rig-set-extra.jpg?v=1758214937,False,False,False
,,SA2969-14M,34.99,0,Pulsar-Splash-Guard-Hammer-Banger.jpg?v=1758214983,False,False,False
,,SA2969-19M,34.99,0,Pulsar-Splash-Guard-Hammer-Banger.jpg?v=1758214983,False,False,False
,,SA3055-14M,34.99,0,Pulsar-Splash-Guard-Hammer-Banger-45-degrees.jpg?v=1758214982,False,False,False
,,SA3055-19M,34.99,0,Pulsar-Splash-Guard-Hammer-Banger-45-degrees.jpg?v=1758214982,False,False,False
,,SA3064,33.99,0,Pulsar-Aperture-Etched-Quartz-Banger.jpg?v=1758214982,False,False,False
,,SA2941BL-I,32.99,0,Pulsar-Twist-Helix-Carb-Cap.jpg?v=1758214982,False,False,False
,,SA2941GR-I,32.99,0,Pulsar-Twist-Helix-Carb-Cap.jpg?v=1758214982,False,False,False
,,SA2941PK-I,32.99,0,Pulsar-Twist-Helix-Carb-Cap.jpg?v=1758214982,False,False,False
,,SA1786-14M,29.99,0,Pulsar-Oil-Bomb-Quartz-Banger.jpg?v=1758214977,False,False,False
,,SA1566-14M,29.99,0,Pulsar-Core-Reactor-Banger-45-Degrees.jpg?v=1758214977,False,False,False
,,P492,70.99,0,Raw-Dank-Locker-CarryRawl-Travel-Case.jpg?v=1758214976,False,False,False
